
> funcqc@0.1.0 dev
> tsx src/cli.ts list --limit 898

ID       Name                            CC LOC File                                     Location
-------- ------------------------------- -- --- ---------------------------------------- --------
3312cb3a findTargetFunction               3  13 src/cli/show.ts                          36-50
1433ba98 findFunctionByIdOrThrow          2   7 src/cli/show.ts                          52-58
3b3c0b16 findFunctionByNameOrThrow        4  14 src/cli/show.ts                          60-77
ca822b4a findFunctionById                 6  13 src/cli/show.ts                          79-97
6fe68c62 findFunctionsByName              5  19 src/cli/show.ts                          99-123
796aad48 selectFunction                   1  13 src/cli/show.ts                          125-141
857824a1 outputJSON                       1  37 src/cli/show.ts                          143-180
e1b93aa9 outputFriendly                   1  11 src/cli/show.ts                          182-192
22c0ae90 displayFunctionHeader            1   9 src/cli/show.ts                          194-203
7b230a51 displayFunctionSignature         1   5 src/cli/show.ts                          205-209
e6875ef5 displayFunctionAttributes        2   6 src/cli/show.ts                          211-216
047d581f buildAttributesList              9  12 src/cli/show.ts                          218-229
580bb197 displayFunctionParameters        6  14 src/cli/show.ts                          231-245
015357b6 displayFunctionReturnType        5  12 src/cli/show.ts                          247-259
9f6042ae displayFunctionMetrics           2  10 src/cli/show.ts                          261-271
bc8823dc displaySizeMetrics               1   6 src/cli/show.ts                          273-278
ae28729d displayComplexityMetrics         1   6 src/cli/show.ts                          280-285
f78cbcbb displayStructureMetrics          3  13 src/cli/show.ts                          287-300
d0ad406a displayDocumentationMetrics      1   5 src/cli/show.ts                          302-306
f3561796 displayAdvancedMetrics           4  11 src/cli/show.ts                          308-319
79783c8c displayFunctionContext           4   9 src/cli/show.ts                          321-330
0569cec3 displayFunctionDocumentation     5  14 src/cli/show.ts                          332-349
312477b0 displayFunctionTechnicalInfo     1   7 src/cli/show.ts                          351-357
6c80c443 formatMetricValue                8  29 src/cli/show.ts                          359-389
614ae565 similarCommand                   2  20 src/cli/similar.ts                       40-64
1c759ae2 initializeCommand                2  10 src/cli/similar.ts                       66-76
a80a2d67 initializeStorage                2   7 src/cli/similar.ts                       78-85
4a0cb549 loadFunctions                    3  19 src/cli/similar.ts                       87-107
0b24704e parseDetectionOptions            6  16 src/cli/similar.ts                       109-125
8276d2cc detectSimilarities               1  25 src/cli/similar.ts                       127-156
5da312d7 applyLimit                       2   3 src/cli/similar.ts                       158-160
9977873f outputResults                    3  11 src/cli/similar.ts                       162-172
57914924 showSummaryIfNeeded              3  10 src/cli/similar.ts                       174-183
8fc3b161 parseConsensusStrategy           8  28 src/cli/similar.ts                       185-218
3b3d471b calculatePriority                2   7 src/cli/similar.ts                       220-228
7d20fa0c outputJSON                       3  43 src/cli/similar.ts                       230-277
6a4a1e1a calculateRefactoringImpact       7  13 src/cli/similar.ts                       279-293
ce822927 outputJSONLines                  2  27 src/cli/similar.ts                       295-323
6b38931c displayResults                   8  32 src/cli/similar.ts                       325-365
3a68b0f1 displaySummary                   6  35 src/cli/similar.ts                       367-409
72a3be20 getDetectorInfo                 10  54 src/cli/similar.ts                       411-464
ad1dc24f getSimilarityReason             17  48 src/cli/similar.ts                       466-524
f691f809 statusCommand                    7  17 src/cli/status.ts                        8-33
2d933ced showConfiguration                4  21 src/cli/status.ts                        35-59
5ed8be93 showDatabaseStatus               5  27 src/cli/status.ts                        61-98
381c47e7 showNoDataMessage                1   5 src/cli/status.ts                        100-104
13230f9a showLatestSnapshotInfo           3   9 src/cli/status.ts                        106-114
a46e1f45 showBasicStats                   1   6 src/cli/status.ts                        116-121
e3d049f4 showRecentSnapshots              4  13 src/cli/status.ts                        123-136
142e4138 showComplexityDistribution       2  13 src/cli/status.ts                        138-151
95860121 showGitStatus                    5  17 src/cli/status.ts                        153-175
e75c83af checkGitRepository               2   9 src/cli/status.ts                        177-185
754852f1 displayBasicGitInfo              2  11 src/cli/status.ts                        187-199
e1dbc5e0 displayVerboseGitInfo            1   4 src/cli/status.ts                        201-204
e9fd2e61 displayWorkingDirectoryStatus    5  15 src/cli/status.ts                        206-223
b0b17dbf displayRecentCommits             2  10 src/cli/status.ts                        225-236
71db1acd showQualityOverview             10  40 src/cli/status.ts                        238-291
143679b7 getQualityStatus                 5  33 src/cli/status.ts                        293-325
e2a06339 getScoreDisplay                  3   6 src/cli/status.ts                        327-332
0bb510b7 showActionableInsights           3  21 src/cli/status.ts                        334-361
0fa27d56 showRecentQualityTrend           3  10 src/cli/status.ts                        363-375
0fa390ac extractTrendData                 7  12 src/cli/status.ts                        377-392
057c4278 displayComplexityTrend           5  10 src/cli/status.ts                        394-403
89c3a2d2 displayFunctionCountTrend        4   7 src/cli/status.ts                        405-411
8941f7c9 generateRecommendations          8  28 src/cli/status.ts                        413-452
c1e35e99 formatDate                       6  16 src/cli/status.ts                        454-470
17461a23 trendCommand                     6  33 src/cli/trend.ts                         24-66
11176329 determinePeriod                  7  13 src/cli/trend.ts                         68-80
b98ca541 analyzeTrends                    7  38 src/cli/trend.ts                         90-142
c099e540 calculatePeriodMetrics           6  34 src/cli/trend.ts                         144-189
5a7a3374 calculateQualityScore            2   8 src/cli/trend.ts                         191-201
b66092e2 calculateOverallTrend            4  11 src/cli/trend.ts                         203-217
1b0a06f6 generateKeyInsights             12  31 src/cli/trend.ts                         219-260
eca080ad generateRecommendations          9  29 src/cli/trend.ts                         262-298
2795bc25 formatPeriodLabel                4  14 src/cli/trend.ts                         300-313
c690e731 displayTrendSummary              3  30 src/cli/trend.ts                         315-349
64e2e99f displayFullTrendAnalysis         3  27 src/cli/trend.ts                         351-387
368f4540 displayTrendChart                5  20 src/cli/trend.ts                         389-413
add4ec8d getQualityScoreDisplay           5   7 src/cli/trend.ts                         415-421
3f240bdb createVectorizeCommand           1  20 src/cli/vectorize.ts                     45-64
e04dc6bf vectorizeActionHandler           3  26 src/cli/vectorize.ts                     66-97
e5499e7a validateOptions                  2  11 src/cli/vectorize.ts                     99-111
0063eabf initializeStorage                2   8 src/cli/vectorize.ts                     113-120
15dac386 initializeEmbeddingService       6  19 src/cli/vectorize.ts                     122-143
871e668a handleConfirmationIfNeeded       4  28 src/cli/vectorize.ts                     145-177
6319ef2c getFunctionCount                 5  14 src/cli/vectorize.ts                     179-197
fa5ae2be executeVectorizeOperation        1  11 src/cli/vectorize.ts                     199-212
9cda27b8 displayResults                   2   9 src/cli/vectorize.ts                     214-223
273e19ce handleError                      4  15 src/cli/vectorize.ts                     225-241
4f6a72dd cleanup                          3   8 src/cli/vectorize.ts                     243-251
b508d2d0 constructor                      1   3 src/config/thresholds-simple.ts          45-47
